seismic,porosity
79,0.375608295
79,0.375516504
104,0.375325114
72,0.375127077
26,0.374931186
-23,0.374737471
-140,0.374540836
-247,0.374345005
-155,0.37414363
3,0.373948067
-72,0.373754174
-148,0.373560339
170,0.373364449
487,0.373163253
243,0.372971565
-153,0.372774959
-103,0.372575134
25,0.372379214
-306,0.372185379
-732,0.371991485
-753,0.371793956
-723,0.371596009
-1078,0.371397853
-1300,0.371206313
-866,0.371010512
-432,0.370814562
-600,0.370616436
-634,0.370420545
111,0.370228618
983,0.370027035
1403,0.369831175
1769,0.369637579
2321,0.36944595
2566,0.36924991
2198,0.369045049
1715,0.368849009
1542,0.368654102
1061,0.368458182
-172,0.368262559
-1180,0.368066788
-1469,0.367872864
-2059,0.367677659
-2795,0.367479622
-2366,0.367279142
-1605,0.367085218
-1950,0.366891772
-1885,0.366698027
115,0.36649999
1846,0.366302103
1281,0.366110265
840,0.365908355
2717,0.365712285
3697,0.365518898
1050,0.365325063
-1122,0.365131229
622,0.364928484
1959,0.364732713
-687,0.364537597
-3137,0.364343673
-1731,0.36414811
89,0.363950044
-1225,0.363754123
-2740,0.363559067
-829,0.363559067
1546,0.363162607
423,0.362966627
-1017,0.362772822
1213,0.362581283
3276,0.362383336
700,0.362181425
-2505,0.361989766
-954,0.36179176
2094,0.36159578
920,0.361399859
-1787,0.361204267
-715,0.361008167
1351,0.360812038
467,0.360612482
202,0.360418826
2237,0.360224962
1590,0.360031009
-1653,0.359833449
-2279,0.35963273
-1598,0.359440744
-2613,0.351329058
-1704,0.351896346
1680,0.36526081
1645,0.372121543
-1208,0.374927491
-874,0.371569216
1361,0.369599968
733,0.377292097
-1892,0.382832587
-3542,0.369790256
-2409,0.353185147
2218,0.349596322
6293,0.35110572
4727,0.347731441
251,0.350907534
-1482,0.360430717
-871,0.361794263
-386,0.36420387
-108,0.367396116
-561,0.35929817
-1899,0.354544222
-1874,0.3598077
854,0.358965367
4725,0.350768507
6236,0.35839045
2225,0.374754936
-4432,0.391755164
-5944,0.377703875
-1217,0.356677383
2914,0.3714118
3157,0.377789915
1291,0.37252751
-1722,0.366219223
-3996,0.362840444
-2379,0.363482684
1251,0.355517417
885,0.365026981
-3868,0.390477538
-5031,0.383788019
1453,0.376299977
6495,0.371791959
2398,0.371791959
-2727,0.364586532
-1678,0.385547996
-1836,0.39391169
-5422,0.387383699
-2413,0.356613278
5708,0.349438906
5928,0.358218908
-390,0.365968615
-1504,0.370937258
1379,0.374225527
-335,0.370686203
-4304,0.365388453
-3027,0.363444269
1804,0.360942334
3286,0.360276908
2287,0.358671159
5263,0.373519152
10032,0.390004128
6659,0.385076821
-4089,0.381757796
-9082,0.370076954
-4621,0.34573701
-704,0.342642576
-1512,0.35614723
-2211,0.356094331
-1651,0.351514816
-1551,0.340044409
-1170,0.331314802
-635,0.325907081
-457,0.317653447
0,0.337826431
-396,0.346098155
-372,0.330027282
4030,0.327094465
7295,0.336529613
1115,0.342142552
-5672,0.337316036
-1439,0.322474569
5287,0.317827642
3590,0.342158467
-532,0.356505573
-1048,0.350437701
-1971,0.343083322
-3057,0.3272219
-501,0.313929886
1675,0.309600025
3,0.310141325
-1308,0.312542081
-660,0.311457872
-702,0.309168994
-259,0.309812307
1682,0.31149295
1493,0.311066717
-870,0.311473638
-1362,0.317424983
-631,0.319398224
-926,0.317867815
-165,0.317140371
1703,0.314959645
733,0.315047413
-2039,0.310996473
-1552,0.308040351
1519,0.308505267
2431,0.309680998
101,0.308321029
-2138,0.30951035
-1315,0.310768992
1063,0.306408793
1196,0.30386439
-441,0.307228029
-447,0.305634528
428,0.299464405
-389,0.300803334
-1114,0.301165611
288,0.300137877
1448,0.297294974
819,0.297974646
620,0.304825783
1532,0.311035126
1516,0.313443154
321,0.315117598
-675,0.325892687
-1465,0.319554418
-1805,0.306068957
-724,0.305168897
370,0.305075884
-374,0.30021897
-1307,0.293935657
-865,0.292158335
-654,0.290805012
-1099,0.288978308
-445,0.288408309
727,0.290401697
548,0.293771148
43,0.293411881
1061,0.291357666
2746,0.294879258
3144,0.286213368
1942,0.280675411
390,0.296168983
-224,0.300731033
-311,0.29741019
-1041,0.295184731
-1523,0.293301761
-562,0.287437707
-67,0.280863941
-1114,0.286491662
-597,0.287979901
2010,0.287266672
1983,0.274648368
-1085,0.278690368
-1730,0.292287946
336,0.290086627
539,0.286473334
-436,0.273035496
546,0.269151628
956,0.277943552
-1607,0.285075009
-3100,0.284470052
-1254,0.277003378
-347,0.271280646
-1653,0.263792187
-690,0.262312651
2192,0.266769886
1646,0.266769886
-999,0.270533353
-111,0.270533353
2489,0.261129677
1657,0.257526547
-885,0.261690319
-1499,0.257361531
-1732,0.256084591
-2587,0.258223802
-1282,0.255321503
2042,0.254507899
3452,0.255818456
2165,0.256904781
930,0.260247648
925,0.262128532
1050,0.268085659
975,0.277345896
1206,0.287440658
1011,0.290074587
-373,0.290329963
-1181,0.287363976
72,0.286260068
1150,0.29626441
-36,0.298598319
-1581,0.297349155
-1835,0.292994916
-1861,0.294408619
-1980,0.289713144
-1488,0.286349982
-1116,0.292266071
-1481,0.286790192
-1791,0.283708364
-1588,0.282113522
-844,0.280368328
76,0.282195032
-650,0.280491799
-3033,0.281480372
-2758,0.287652522
1701,0.28728196
4481,0.287398309
2225,0.28755334
161,0.291814953
1708,0.303770721
2858,0.306450903
1903,0.313406974
3033,0.317070186
6683,0.313162088
7086,0.315507084
2392,0.317764878
-2355,0.316569656
-3311,0.333061844
-2182,0.348592252
-2279,0.344878227
-4639,0.345233977
-6620,0.348903686
-4205,0.349198133
1753,0.343316674
5263,0.346535802
4505,0.331578195
3461,0.303296655
2511,0.310635656
-2396,0.335827261
-9608,0.357381135
-11306,0.372003883
-5127,0.364386529
2143,0.347350925
4065,0.330018163
2157,0.313107014
1419,0.309579313
2408,0.325107157
2228,0.340694427
479,0.341375977
-469,0.340998203
257,0.346049994
1094,0.355371773
1082,0.358482718
1594,0.351147115
3585,0.344944417
4808,0.336860359
2813,0.339785457
-876,0.361417234
-3027,0.364849091
-3316,0.358335882
-3296,0.359936535
-3376,0.359986573
-2778,0.356192291
-738,0.351266026
1860,0.34353891
2521,0.337552726
1024,0.338066638
369,0.342129648
1423,0.350525975
1465,0.357256919
-45,0.349222183
-371,0.330435157
799,0.33342725
756,0.347411305
-641,0.34555468
-547,0.340977818
938,0.342350006
444,0.350967973
-1937,0.353366107
-2324,0.353478849
-801,0.354422659
-1391,0.353616923
-3059,0.35340187
-1099,0.353888631
2408,0.354715466
1511,0.352690578
-1405,0.351656646
99,0.350001872
3099,0.353884637
1042,0.35850969
-2644,0.354911298
-1440,0.354405552
1247,0.357203841
-460,0.356483072
-3213,0.357126296
-1594,0.360201895
1742,0.360038459
1914,0.352322251
557,0.345145255
1444,0.341414809
2521,0.343088686
-47,0.334753573
-3071,0.345242292
-875,0.360556662
3273,0.354983032
2039,0.355849952
-2433,0.353650987
-2637,0.363978863
838,0.371880352
2152,0.367440492
1060,0.347915381
901,0.326828569
1539,0.320631564
1349,0.314456135
995,0.310375839
1303,0.308689654
1483,0.30999139
994,0.304431587
210,0.277316689
-743,0.262840271
-1716,0.281449974
-1931,0.298345804
-1321,0.30063048
-1224,0.312810153
-2198,0.32464847
-2699,0.308375359
