Density,Sonic,Gamma
1998.9065,513.5145,20.8059
1989.1794,513.5073,21.1575
1985.5889,513.4998,21.3494
2008.2076,513.4924,21.1685
2026.0713,513.4849,21.1536
1996.0391,513.4775,21.3494
1964.4281,513.4702,22.0492
1973.8464,513.463,23.0273
1997.1914,513.4556,23.1452
2014.1787,513.4481,23.1452
2010.5653,513.4408,21.9542
1999.2224,513.4333,19.8959
1994.9497,513.4258,19.396
2001.0245,513.4185,18.4487
1992.5934,513.4111,18.0223
1988.7426,513.404,18.0223
1996.2861,513.3965,18.6125
2002.2458,513.389,20.129
1993.8671,513.3817,20.129
1991.9595,513.3742,20.0363
1971.4432,513.3668,19.5617
1932.4,513.3594,18.9351
1888.4852,513.3522,18.9351
1820.9015,513.3448,19.0329
1780.1243,513.3374,19.6528
1738.2853,513.33,20.3938
1662.6282,513.3226,20.5225
1569.488,513.3151,20.5067
1473.1573,513.308,20.3013
1386.7687,513.3006,19.4493
1392.9941,513.2932,18.3575
1398.0958,513.2858,18.2196
1395.4108,513.2783,18.2206
1388.459,513.2709,18.2565
1382.4,513.2634,18.3653
1383.7906,513.256,18.9398
1383.6052,513.2488,19.2428
1382.5438,513.2415,20.2042
1380.1333,513.234,20.2438
1384.9119,513.2266,20.3621
1400.5529,513.2192,20.3714
1400.8385,513.2117,20.3714
1394.3628,513.2046,18.5081
1393.8467,513.1969,17.3993
1403.2124,513.1898,17.2678
1433.319,513.1824,17.2678
1423.0569,513.1749,18.4874
1405.2401,513.1675,19.1258
1412.4001,513.16,19.2155
1433.0859,513.1527,19.2155
1446.6351,513.1453,19.1358
1446.1461,513.1381,19.1097
1455.4406,513.1307,19.1097
1479.8503,513.1233,20.0293
1503.3381,513.1159,20.4111
1516.4618,513.1085,20.9484
1530.0868,513.101,20.8075
1564.8236,513.0938,20.4771
1607.0181,513.0865,19.9744
1627.0717,513.079,19.7143
1626.243,513.0716,18.7036
1604.9662,513.0642,16.73
1562.7018,513.0568,15.1234
1540.6187,513.0493,14.4911
